GF7E01;Star Fox: Assault
GBWE64;Star Wars Bounty Hunter Limited Edition
GJKE52;Star Wars Jedi Knight II: Jedi Outcast
GSWE64;Star Wars Rogue Squadron II: Rogue Leader
GLRE64;Star Wars Rogue Squadron III: Rebel Strike
GSXE64;Star Wars: The Clone Wars
GSAE01;StarFox Adventures
GT5E7N;Starsky & Hutch
GHPE52;Street Hoops
GCSEAF;Street Racing Syndicate
G5BE4Z;Strike Force Bowling
GS2E78;Summoner: A Goddess Reborn
GBYE0A;Super Bubble Pop
G4QE01;Super Mario Strikers
GMSE01;Super Mario Sunshine
GMBE8P;Super Monkey Ball
GM2E8P;Super Monkey Ball 2
G3LE8P;Super Monkey Ball Adventure
GALE01;Super Smash Bros. Melee
GSUE70;Superman: Shadow of Apokolips
GXUE41;Surf's Up
GWGE4F;Swingerz Golf
GYRE41;TMNT
GE5EA4;TMNT: Mutant Melee
G2FE78;Tak 2: The Staff of Dreams
GJUE78;Tak and the Power of Juju
GJWE78;Tak: The Great JuJu Challenge
GQSEAF;Tales of Symphonia
GTZE41;Tarzan Untamed
GTWE70;Taz Wanted
G6TE5G;Teen Titans
GNIEA4;Teenage Mutant Ninja Turtles 2: Battle Nexus
G3QEA4;Teenage Mutant Ninja Turtles 3: Mutant Nightmare
GTFEA4;Teenage Mutant NinjaTurtles
GT6E70;Terminator 3: The Redemption
GTRE78;Tetris Worlds
GAXE5D;The Ant Bully
GLVE4Q;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
GGNE5D;The Grim Adventures of Billy & Mandy
GHUE7D;The Incredible Hulk Ultimate Destruction
GICE78;The Incredibles
GIBE4F;The Italian Job
GO2E4F;The Legacy of Kain Series: Blood Omen 2
G6SE7D;The Legend of Spyro: A New Beginning
G4SE01;The Legend of Zelda: Four Swords Adventures
GZLE01;The Legend of Zelda: The Wind Waker
GZ2E01;The Legend of Zelda: Twilight Princess
GP3E78;The Polar Express
GPQE6L;The Powerpuff Girls: Relish Rampage
GSKE7D;The Scorpion King: Rise of the Akkadian
GSPE69;The Simpsons Road Rage
GHQE7D;The Simpsons: Hit And Run
GCIE69;The Sims
G4ZE69;The Sims 2
G4OE69;The Sims 2 : Pets
G4ME69;The Sims : Bustin' Out
G3ME41;The Sum Of All Fears
GUBE69;The Urbz: Sims In The City
G6WE69;Tiger Woods PGA Tour 06
GTIE69;Tiger Woods PGA Tour 2003
GW4E69;Tiger Woods PGA Tour 2004
G5TE69;Tiger Woods PGA Tour 2005
GTSE4F;TimeSplitters 2
G3FE69;TimeSplitters: Future Perfect
GGRE41;Tom Clancy - Ghost Recon
G63E41;Tom Clancy's Rainbow Six 3
GCEE41;Tom Clancy's Splinter Cell
GCJE41;Tom Clancy's Splinter Cell - Chaos Theory
GWYE41;Tom Clancy's Splinter Cell Double Agent
GT7E41;Tom Clancy's Splinter Cell Pandora Tomorrow
GLQE41;Tom Clancys Rainbow Six Lockdown
GL8E4F;Tomb Raider: Legend
GTQE6S;Tonka: Rescue Patrol
GWJE52;Tony Hawk's American Wasteland
GT4E52;Tony Hawk's Pro Skater 4
GTDE52;Tony Hawk's Underground
G2TE52;Tony Hawk's Underground 2
GT3E52;Tony Hawks Pro Skater 3
GTAE5S;Top Angler
GTGE60;Top Gun: Combat Zone
GTVE70;Transworld Surf: Next Wave
GG2E4Z;Trigger Man
G2CE52;True Crime: New York City
GTLE52;True Crime: Streets of LA
GTUE8G;Tube Slider - The Championship of Future Formula
GTKE51;Turok Evolution
GYTE69;Ty The Tasmanian Tiger 2 : Bush Rescue
GTYE69;Ty the Tasmanian Tiger
GIZE52;Ty the Tasmanian Tiger 3: Night of the Quinkan
GUFE4Z;Ultimate Fighting Championship Throwdown
GKNEB2;Ultimate Muscle: Legends vs. New Generation
GUTE52;Ultimate Spider-Man
GUSE7F;Universal Studios Theme Park Adventure
GJXE51;Vexx
GVJE08;Viewtiful Joe
G2VE08;Viewtiful Joe 2
GVCE08;Viewtiful Joe: Red Hot Rumble
G8FE8P;Virtua Quest
GVSE8P;Virtua Striker 2002
GWTEA4;WTA Tour Tennis
GW2E78;WWE - Day of Reckoning 2
GCHE78;WWE Crush Hour
GWPE78;WWE Day of Reckoning
GW3E78;WWE WrestleMania X8
GW9E78;WWE Wrestlemania XIX
GWLE6L;Wallace & Gromit in Project Zoo
GZWE01;Wario Ware Inc. : Mega Party Game$!
GWWE01;Wario World
GWRE01;Wave Race: Blue Storm
GWUE7D;Whirl Tour
GWHE41;Winnie The Pooh Rumbly Tumbly Adventures
GW8E52;World Series of Poker
GWME51;Worms 3D
GWBE41;Worms Blast
GWQE52;Wreckless: The Yakuza Missions
G3XE52;X-Men : The Official Game
GXLE52;X-Men Legends
GX2E52;X-Men Legends II: Rise of Apocalypse
GXME52;X-Men: Next Dimension
GWVE52;X2: Wolverine's Revenge
G3EE51;XGIII : Extreme G Racing
GXAE51;XGRA Extreme G Racing Association
GX3E41;XIII
GYFEA4;Yu-Gi-Oh! The Falsebound Kingdom
GZPE70;Zapper - One Wicked Cricket!
GYKEB2;Zatch Bell! Mamodo Battles
GABEAF;Zatch Bell! Mamodo Fury
GZSE70;Zoids Battle Legends
GZCE51;ZooCube
