SLUS-01262;FIFA 2001 - MAJOR LEAGUE SOCCER
SLUS-01408;FIFA 2002 - MAJOR LEAGUE SOCCER
SLUS-00038;FIFA SOCCER '96
SLUS-00269;FIFA SOCCER '97
SLUS-01504;FIFA SOCCER 2003
SLUS-01578;FIFA SOCCER 2004
SLUS-01585;FIFA SOCCER 2005
SLUS-00641;FIGHTER MAKER
SLUS-00433;FIGHTING FORCE
SLUS-00934;FIGHTING FORCE 2
SLUS-00331;FINAL DOOM
SLUS-00900;FINAL FANTASY ANTHOLOGY
SLUS-01363;FINAL FANTASY CHRONICLES
SLUS-01297;FINAL FANTASY IX
SLUS-01541;FINAL FANTASY ORIGINS
SCUS-94221;FINAL FANTASY TACTICS
SCUS-94165;FINAL FANTASY VII
SLUS-00910;FINAL FANTASY VIII
SLUS-00802;FISHERMAN'S BAIT
SLUS-00999;FISHERMAN'S BAIT 2 - BIG OL' BASS
SLUS-00231;FLOATING RUNNER - QUEST FOR THE 7 CRYSTALS
SLUS-01301;FORD RACING
SLUS-01540;FORD TRUCK MANIA
SCUS-94353;FORMULA 1
SLUS-00744;FORMULA 1 '98
SLUS-00546;FORMULA 1 - CHAMPIONSHIP EDITION
SLUS-01134;FORMULA ONE 2000
SLUS-00870;FORMULA ONE 99
SLUS-00458;FORSAKEN
SLUS-00176;FOX HUNT
SLUS-00636;FOX SPORTS GOLF '99
SLUS-00925;FOX SPORTS NHL CHAMPIONSHIP 2000
SLUS-00635;FOX SPORTS SOCCER '99
SLUS-00010;FRANK THOMAS BIG HURT BASEBALL
SLUS-00767;FREESTYLE BOARDIN' '99
SLUS-01122;FREESTYLE MOTOCROSS - MCGRATH VS. PASTRANA
SLUS-00506;FROGGER
SLUS-01172;FROGGER 2 - SWAMPY'S REVENGE
SLUS-01011;FRONT MISSION 3
SLUS-00739;FUTURE COP L.A.P.D.
SLUS-00556;G-POLICE
SLUS-00798;G-POLICE - WEAPONS OF JUSTICE
SLUS-00690;G.DARIUS
SLUS-01258;GALAGA - DESTINATION EARTH
SLUS-01099;GALERIANS
SLUS-00942;GALLOP RACER
SLUS-00624;GAUNTLET LEGENDS
SLUS-00970;GEKIDO - URBAN FIGHTERS
SLUS-01498;GEKIOH SHOOTING KING
SLUS-00024;GEOM CUBE
SLUS-00042;GEX
SLUS-00598;GEX - ENTER THE GECKO
SLUS-00806;GEX 3 - DEEP COVER GECKO
SLUS-00552;GHOST IN THE SHELL
SLUS-00890;GLOVER
SLUS-00055;GOAL STORM
SLUS-00295;GOAL STORM '97
SLUS-00555;GOLDEN NUGGET
SCUS-94194;GRAN TURISMO - THE REAL DRIVING SIMULATOR
SCUS-94588;GRAN TURISMO 2 - THE REAL DRIVING SIMULATOR
SLUS-00127;GRAND SLAM
SLUS-00106;GRAND THEFT AUTO
SLUS-00846;GRAND THEFT AUTO - COLLECTOR'S EDITION
SLUS-00846;GRAND THEFT AUTO - MISSION PACK #1 - LONDON 1969
SLUS-00789;GRAND THEFT AUTO 2
SLUS-00846;GRAND THEFT AUTO DIRECTOR'S CUT 
SCUS-94465;GRANDIA 
SLUS-00323;GRID RUNNER
SCUS-94568;GRIND SESSION
SLUS-01150;GRUDGE WARRIORS
SLUS-00811;GUARDIAN'S CRUSADE
SLUS-01466;GUBBLE
SLUS-00772;GUILTY GEAR
SLUS-01226;GUNDAM BATTLE ASSAULT
SLUS-01418;GUNDAM BATTLE ASSAULT 2
SLUS-01398;GUNFIGHTER - THE LEGEND OF JESSE JAMES
SLUS-00313;GUNSHIP
SLUS-00108;HARDBALL 5
SLUS-00651;HARDBALL 99
SLUS-01503;HARRY POTTER & THE CHAMBER OF SECRETS
SLUS-01415;HARRY POTTER & THE SORCERER'S STONE
SLUS-01115;HARVEST MOON - BACK TO NATURE
SLUS-01027;HBO BOXING
SLUS-00741;HEART OF DARKNESS
SLUS-01414;HELLBOY - ASYLUM SEEKER
SLUS-00778;HELLO KITTY - CUBE FRENZY
SLUS-00298;HERC'S ADVENTURES
SLUS-00348;HEXEN
SLUS-00157;HI-OCTANE
SLUS-00830;HIGH HEAT BASEBALL 2000
SLUS-01244;HIGH HEAT MAJOR LEAGUE BASEBALL 2002
SLUS-01195;HOGS OF WAR
SLUS-01394;HOOTERS ROAD TRIP
SLUS-01375;HOSHIGAMI - RUINING BLUE EARTH
SCUS-94188;HOT SHOTS GOLF
