SNS-SC-USA;SimCity
SNS-AWWE-USA;SimCity 2000
SNS-SE-USA;SimEarth - The Living Planet
SNS-BN-USA;Simpsons, The - Bart's Nightmare
SNS-AVBE-USA;Simpsons, The - Virtual Bart
SNS-9J-USA;Sink or Swim
SNS-SL-USA;Skuljagger - Revolt of the Westicans
SNS-LZ-USA;Skyblazer
SNS-JB-USA;Smart Ball
SNS-ASHE-USA;Snow White in Happily Ever After
SNS-UD-USA;Soldiers of Fortune
SNS-SK-USA;Sonic Blast Man
SNS-2C-USA;Sonic Blast Man II
SNS-TT-USA;SOS
SNS-SO-USA;Soul Blazer
SNS-5A-USA;Space Ace
SNS-FL-USA;Space Football - One on One
SNS-IC-USA;Space Invaders
SNS-AT-USA;Space Megaforce
SNS-HJ-USA;Spanky's Quest
SNS-ASSE-USA;Sparkster
SNS-A9WE-USA;Spawn
SNS-7Q-USA;Spectre
SNS-9S-USA;Speed Racer in My Most Dangerous Adventures
SNS-ASEE-USA;Speedy Gonzales - Los Gatos Bandidos
SNS-AMCE-USA;Spider-Man & Venom - Maximum Carnage
SNS-A2CE-USA;Spider-Man & Venom - Separation Anxiety
SNS-MN-USA;Spider-Man & X-Men - Arcade's Revenge
SNS-ADME-USA;Spider-Man - The Animated Series
SNS-SX-USA;Spindizzy Worlds
SNS-AWBE-USA;Sporting News Baseball, The
SNS-LU-USA;Sports Illustrated - Championship Football & Baseball
SNS-FO-USA;Star Fox
SNS-FU-USA;Star Fox - Super Weekend
SNS-A9DE-USA;Star Trek - Deep Space Nine - Crossroads of Time
SNS-ASTE-USA;Star Trek - Starfleet Academy - Starship Bridge Simulator
SNS-XN-USA;Star Trek - The Next Generation - Future's Past
SNS-AGTE-USA;Stargate
SNS-5S-USA;Steel Talons
SNS-AS2E-USA;Sterling Sharpe - End 2 End
SNS-ASOE-USA;Stone Protectors
SNS-RA-USA;Street Combat
SNS-AUZE-USA;Street Fighter Alpha 2
SNS-S2-USA;Street Fighter II - The World Warrior
SNS-TI-USA;Street Fighter II Turbo - Hyper Fighting
SNS-AHYE-USA;Street Hockey '95
SNS-ASRE-USA;Street Racer
SNS-SG-USA;Strike Gunner STG
SNS-CQ-USA;Stunt Race FX
SNS-6S-USA;Sunset Riders
SNS-H2-USA;Super Adventure Island
SNS-E4-USA;Super Adventure Island II
SNS-8A-USA;Super Alfred Chicken
SNS-AU-USA;Super Aquatic Games starring the Aquabats, The
SNS-SA-USA;Super Baseball 2020
SNS-UB-USA;Super Baseball Simulator 1.000
SNS-SP-USA;Super Bases Loaded
SNS-3D-USA;Super Bases Loaded 2
SNS-AB3E-USA;Super Bases Loaded 3 - License to Steal
SNS-FA-USA;Super Batter Up
SNS-8B-USA;Super Battleship
SNS-SB-USA;Super Battletank - War in the Gulf
SNS-2X-USA;Super Battletank 2
SNS-BQ-USA;Super Black Bass
SNS-H6-USA;Super Bomberman
SNS-M4-USA;Super Bomberman 2
SNS-ANKE-USA;Super Bonk
SNS-BW-USA;Super Bowling
SNS-SN-USA;Super Buster Brothers
SNS-C6-USA;Super Caesers Palace
SNS-AD-USA;Super Castlevania IV
SNS-QT-USA;Super Chase HQ
SNS-CN-USA;Super Conflict
SNS-75-USA;Super Copa
SNS-WD-USA;Super Double Dragon
SNS-A-SG-USA;Super Game Boy
SNS-CM-USA;Super Ghouls & Ghosts
SNS-JV-USA;Super Goal! 2
SNS-7G-USA;Super Godzilla
SNS-HX-USA;Super High Impact
SNS-J5-USA;Super James Pond
SNS-4M-USA;Super Mario All-Stars
SNS-5M-USA;Super Mario All-Stars + Super Mario World
SNS-MK-USA;Super Mario Kart
SNS-ARWE-USA;Super Mario RPG - Legend of the Seven Stars
SNS-MW-USA;Super Mario World
SNS-YI-USA;Super Mario World 2 - Yoshi's Island
SNS-RI-USA;Super Metroid
SNS-CW-USA;Super Ninja Boy
SNS-DH-USA;Super Nova
SNS-OR-USA;Super Off Road
SNS-R8-USA;Super Off Road - The Baja
SNS-XP-USA;Super Pinball - Behind the Mask
SNS-SF-USA;Super Play Action Football
SNS-4Q-USA;Super Punch-Out!!
SNS-YU-USA;Super Putty
SNS-SR-USA;Super R-Type
SNS-ARLE-USA;Super RBI Baseball
SNS-LR-USA;Super Scope 6
SNS-D9-USA;Super Slam Dunk
SNS-ZX-USA;Super Slap Shot
SNS-TV-USA;Super Smash TV
SNS-FS-USA;Super Soccer
SNS-HT-USA;Super Soccer Champ
SNS-LT-USA;Super Solitaire
SNS-V4-USA;Super Star Wars - A New Hope
SNS-E5-USA;Super Star Wars II - The Empire Strikes Back
SNS-ARJE-USA;Super Star Wars III - Return of the Jedi
SNS-XW-USA;Super Street Fighter II - The New Challengers
SNS-EG-USA;Super Strike Eagle
SNS-ST-USA;Super Tennis
SNS-5L-USA;Super Troll Islands
SNS-TU-USA;Super Turrican
SNS-A2TE-USA;Super Turrican 2
SNS-VA-USA;Super Valis IV
SNS-WI-USA;Super Widget
SNS-8H-USA;Suzuka 8 Hours
SNS-AK9E-USA;SWAT Kats - The Radical Squadron
SNS-AFYE-USA;Syndicate
SNS-TZ-USA;Taz-Mania
SNS-AQ-USA;Tecmo Secret of the Stars
SNS-ATBE-USA;Tecmo Super Baseball
SNS-7T-USA;Tecmo Super Bowl
SNS-ASBE-USA;Tecmo Super Bowl II - Special Edition
SNS-AW4E-USA;Tecmo Super Bowl III - Final Edition
SNS-XM-USA;Tecmo Super NBA Basketball
SNS-TM-USA;Teenage Mutant Ninja Turtles IV - Turtles in Time
SNS-KY-USA;Teenage Mutant Ninja Turtles V - Tournament Fighters
SNS-TN-USA;Terminator
SNS-TP-USA;Terminator 2 - Judgment Day
SNS-XV-USA;Terminator 2 - The Arcade Game
SNS-DL-USA;Test Drive II - The Duel
SNS-ATFE-USA;Tetris & Dr. Mario
SNS-27-USA;Tetris 2
SNS-AYLE-USA;Tetris Attack
